" and "," si "
"(Absolute path or Relative to Magento install root, ex. var/export)","(Valoare absoluta sau relativa a radicinei Magento, ex. variabila/ exportare)"
"(For US 2-letter state names)","(Pentru US 2- Litere nume stat)"
"(If left empty will be auto-generated)","(Daca este lasat liber va fi auto generat)"
"(Leave empty for first spreadsheet)","(Lasa liber pentru prima pagina)"
"(Products will be added/updated to this store if 'store' column is blank or missing in the import file.)","(Produsele vor fi adaugate/ upgradate pentru acest stoc daca coloana 'magazinului' este libera sau lipseste din fisierul importat.)"
"(Shift-)Click or drag to change value","(Schimba-)Click sau trage pentru a schimba valoarea"
(Starting with)","(Incepe cu)"
"(When 'No', only mapped fields will be imported. When mapping, use 'column1', 'column2', etc.)","(Cand 'Nu', numai fisierele mapate vor fi importate. Cand se mapeaza, foloseste 'coloana1', 'coloana2', etc.)"
"(You have to increase php memory_limit before changing this value)","(Trebuie sa cresti limita memoriei php inainte sa schimbi aceasta valoare)"
"(\t for tab)","(\t pentru tab)"
"- Click on any of the time parts to increase it","- Click on any of the time parts to increase it"
"- Hold mouse button on any of the above buttons for faster selection.","- Hold mouse button on any of the above buttons for faster selection."
"- Use the %s buttons to select month","- Use the %s buttons to select month"
"- Use the %s, %s buttons to select year","- Use the %s, %s buttons to select year"
"- or Shift-click to decrease it","- or Shift-click to decrease it"
"- or click and drag for faster selection.","- or click and drag for faster selection."
"API:","API:"
"About the calendar","Despre calendar"
"Access Denied.","Acces Interzis."
"Account Created in:","Cont creat in:"
"Account Created on (%s):","cont creat pe (%s):"
"Account Created on:","Cont creat pe:"
"Action","Actiune"
"Actions","Actiuni"
"Add","Adauga"
"Add Contents Path","Adauga directie continut"
"Add Field with URL:","Adauga camp cu URL:"
"Add Maintainer","Adauga Mentinator"
"Add New Role","Adauga Rola Noua"
"Add New Template","Adauga Template Nou"
"Add New User","Adauga Nou User"
"Add PHP Extension dependency","Adauga Extensie Dependenta DHP"
"Add Package dependency","Adauga Dependenta Pachet"
"Add Subpackage dependency","Adauga Dependenta Subpachet"
