"# of Use","# in uz"
"Customers Reviews","Opinii clienti"
"Customers Tagged Product","Produs cu tag adaugat de client"
"Customers for alert %s was successfuly added to queue","Clientii alerta %s au fost cu succes adaugati la chestionar"
"Data Type for Saving in Database","Tipuri date pentru salvat in baze de date"
"Date","Data"
"Date & Time Custom Options","Data & Timp optiuni personalizate"
"Date Subscribed","Data inscrierii"
"Date fields order","Ordine date camp"
"Datetime","Tip data"
"Decimal","Zecimal"
"Decimal Number","Numar zecimal"
"Declare attribute value saving scope","Declara valoare atribut salvand oportunitate"
"Default Qty","Cantitate standard"
"Default Values","Valori standard"
"Default price","Pret standard"
"Default value","Valoare standard"
"Delete","Sterge"
"Delete Attribute","Sterge atribut"
"Delete Attribute Set","Sterge set de atribute"
"Delete Category","Sterge categorie"
"Delete Option","Sterge optiune"
"Delete Row","sterge rand"
"Delete Search","Sterge cautare"
"Delete Selected Group","Sterge grupul selectat"
"Delete category","Sterge categorie"
"Delete product","Delete product"
"Depends on design theme","Depinde de tema design"
"Design","Design"
"Disabled","Dezactivat"
"Display in Suggested Terms","Arata in termenii sugerati"
"Double click on a group to rename it","Clic dublu pentru a redenumi un grup"
"Double click on above image to view full picture","Clic dublu pe imaginea de deasupra pentru a vedea intreaga poza"
"Dropdown","Dropdown"
"Duplicate","Duplicat"
"Duplicate website tier price customer group and quantity.","Duplicare pret website tier grupului de clienti si cantitatea."
"Duplicate website, country and state tax found.","Duplicare website, tara si taxele statului gasite."
"Edit","Modifica"
"Edit Attribute Set '%s'","Modifica set de atribute '%s'"
"Edit Product Attribute","Modifica atribut produs"
"Edit Product Attribute ""%s""","Modifica atribut produs ""%s"""
"Edit Search","Modifica cautare"
"Edit Search '%s'","Modifica cautarea '%s'"
"Email","Email"
"Email to a Friend","Recomanda"
"Empty","Gol"
"Enabled","Activat"
"Error during retrieval of option value: %s","Eroare in timpul reincercarii valorii optiunii: %s"
"Error while adding customers for %s alert. Message: %s","Eroare in timpul adaugarii clientilor pentru alerta %s. Mesaj: %s"
"Error while saving this group. Group with the same name already exists.","Eroare la salvarea grupului. Mai exista ungrup cu acelasi nume."
"Error while saving this group. Please try again later.","Eroare la salvarea grupului. Incearca mai tarziu."
"Exclude","Exclude"
"Expand All","Extinde tot"
"Failed","Esuat"
"Failed to move file: %s","Failed to move file: %s"
"Feature Products","Produse Caracteristice"
"File options format is not valid","Formatul optiunilor fisierului nu este valid"
"File upload failed","Incarcare esuata a fisierului"
"Filter model name must be declared","Numele filtrului model trebuie declarat"
"Filter must be as object. Set correct filter please","Filtrul trebuie sa fie ca obiect. Seteaza filtrul corect, va rugam"
"Filterable (no results)","Filtrabil (fara rezultate)"
"Filterable (with results)","Filtrabil (cu rezultate)"
"Filters must be as array","Filtrele trebuie sa fie tip lista"
"First Name","Prenume"
"Fixed","Fixa"
"Flat Catalog module has a limit of %2$d filterable and/or sort able attributes. Currently there are %1$d. Please reduce the number of filterable/sort able attributes in order to use this module.","Modulul catalogului neted are o limita de %2$d filtrabila si/ sau sortarea atributelor capabile. In mod curent ele au %1$d. Please reduce the number of filterable/sort able attributes in order to use this module."
"For internal use. Must be unique with no spaces","Pentru uz intern. Trebuie sa fie unice fara spatii"
"For reindex enabled product(s) you need specify store or product","Pentru reindexarea produselor posibile trebuie sa specifici stocul sau produsul"
"Frontend","Frontend"
"Frontend Model","Model frontend"
"Frontend Properties","Propietati frontend"
"Gallery","Galerie"
"General Information","Informatii generale"
"Get special price","Ia pretul special"
"Global","Global"
"Globally Editable","Editare globala"
"Go to Home Page","Mergi la pagina principala"
"Grid","Tabel"
"Grouped Product","Produs grupat"
"Groups","Grupuri"
"Home","Acasa"
"ID","ID"
"ID: %s","ID: %s"
"If you do not specify an option value for a specific store view then the default (Admin) value will be used.","Daca nu specificivaloarea unei optiuni pentru un stoc specific, atunci valoarea din Admin va fi folosita."
"Image","Imagine"
"Image content is not valid base64 data.","Contentul imaginii nu etse o data base64 valida."
"Image file not found","Nu s-a gasit imaginea"
"Image not exists","Imaginea nu exista"
"Image not specified.","Imagine nespecificata."
"Image type and information need to be specified for each store view.","Tipul imaginii si informatiile trebuie specificate pentru fiecare vitrina a magazinului."
"In Stock","In Stoc"
"In stock","In stoc"
"In stock.","In stock."
"Incl. Tax","Incl. Taxe"
"Input Type","Tip furnizat"
"Input Validation for Store Owner","Validare input pt proprietarul magazinului"
"Integer","Intreg"
"Integer Number","Numar intreg"
"Invalid Tier Prices","Preturi tier invalide"
"Invalid attribute %s","Atribut invalid %s"
"Invalid attribute option specified for attribute %s (%s), skipping the record","Optiune a atributului invalida specificata pentru atribut %s (%s), sari peste inregistrare"
"Invalid attribute set specified, skipping the record","Set atribute invalide specificat, sari peste inregistrare "
"Invalid block: %s","Bloc invalid: %s"
"Invalid category","Categorie invalida"
"Invalid category IDs","Categorie invalida IDs"
"Invalid image file type","Tip fisier imagine invalida"
"Invalid image type.","Tip imagine invalida."
"Invalid option id specified for %s (%s), skipping the record","Optiune id invalida specificate pentru  %s (%s), sari peste inregistrare"
"Invalid product type specified, skipping the record","Tip produs invalid specificat, sari peste inregistrare"
"Invalid store specified","Magazin invalid specificat"
"Invalid store specified, skipping the record","Magazin invalid specificat, sari peste inregistare"
"Inventory","Stocuri"
"Is Default","Este standard"
"Is Required","Este cerut"
"Items %s to %s of %s total","Articole %s pina la %s din %s in total"
"Items that you don't want to show in the catalog or search results should have status 'Disabled' in the desired store.","Articolele care nu vreti sa apara in catalog trebuie sa aiba valoarea 'Dezactivat' in magazinul dorit."
"Label","Eticheta"
"Last Name","Nume"
"Last Notification","Ultima instiintare"
"Learn More","Vezi mai mult"
"Length of text is too long","Lungimea textului este prea lunga"
"Letters","Litere"
"Letters(a-zA-Z) or Numbers(0-9)","Litere(a-zA-Z) sau numere(0-9)"
"Line %d, Email: %s","Linie %d, Email: %s"
"Line %d, SKU: %s","Linie %d, COD: %s"
"Link (Related, Up sell, Cross sell)","Link ( Conexe, Din ac. categorie, Nicio legatura)"
"Link product not exists.","Linkul produsului nu exista."
"List","Lista"
"List Mode","Modul lista"
"Manage Attribute Sets","Gestioneaza seturile de atribute"
"Manage Attributes","Gestioneaza atributele"
"Manage Catalog Categories","Gestioneaza categoriile catalogului"
"Manage Categories","Gestioneaza categoriile"
"Manage Label / Options","Gestioneaza etichete / optiuni"
"Manage Options (values of your attribute)","Gestioneaza optiuni (valori ale atributelor)"
"Manage Product Attributes","Gestioneaza atribute produs"
"Manage Product Sets","Gestioneaza seturi produs"
"Manage Products","Gestioneaza produse"
"Manage Stock","Gestioneaza stoc"
"Manage Titles (Size, Color, etc.)","Gestioneaza titluri (Size, Color, etc.)"
"Max Characters","Max Characters"
"Maximal Depth","Maximal Depth"
"Maximum Image Size","Marimea maxima a imaginii"
"Maximum Qty Allowed in Shopping Cart","Cantitate maxima in cos"
"Maximum image height","Maximum image height"
"Maximum image width","Maximum image width"
"Maximum number of characters","Numarul maxim de caractere"
"Media Image","Imagine media"
"Minimum Lines Per Page","Minimum de linii pe pagina"
"Minimum Qty Allowed in Shopping Cart","Cantitate minima admisa in cos"
"Minimum Qty for Item's Status to be Out of Stock","Cantitate minima pentru status: stoc epuizat"
"Missing SKU, skipping the record","SKU lipsa, sari peste inregistrare"
"More Views","Mai multe poze"
"Move","Muta"
"Move category in tree","Muta categorie in arbore"
"Multiple Select","Selectie multipla"
"Name","Nume"
"Name In %s","Nume In %s"
"Name<br/>(For internal use)","Nume<br/>(pentru uz intern)"
"New Category","Categorie noua"
"New Product","Produs nou"
"New Product Attribute","Atribut nou de produs"
"New Products","Produse noi"
"New Search","Cautare noua"
"New Set Name","Nume de set nou"
"Next","Urmatorul"
"No","Nu"
"No image","Fara imagine"
"No layout updates","Nicio actualizare de layout"
"No options of this product are available.","Nu sunt disponibile optiuni pentru acest produs."
"No product collections found","Nicio colectie de produse"
"None","Nimic"
"Not shared with other products","Nu e comun cu alte produse"
"Notify Low Stock RSS","Anunta stoc limitat RSS"
"Notify for Quantity Below","Anunta pentru cantitate mai mica de"
"Nowhere","Nicaieri"
"Number of Uses","Numar de utilizari"
"Number of results<br/>(For last time placed)","Numar de rezultate<br/>(pentru ultima data)"
"OR","OR"
"Old Price:","Pret vechi:"
"Option validation failed to add product to cart","Validarea optiunii de a adauga produse in cos a esuat"
"Option:","Optiune:"
"Options Control","Control optiuni"
"Options is required","Necesita alegere optiune"
"Our customer service is available 24/7. Call us at (555) 555-0123.","Serviciul relatii cu clientii este disponibil 24/7. Suna-ne la (555) 555-0123."
"Out of Stock","Stoc epuizat"
"Out of stock","Stoc epuizat"
"Out of stock.","Stoc epuizat."
"PM","PM"
"Page Title Separator","Separatorul titlului paginii"
"Page:","Pagina:"
"Parent Category","Categorie parinte"
"Pending","In curs de desfasurare"
"Pending Reviews RSS","Pareri in asteptare RSS"
"Percentage","Procentaj"
"Please add rows to option.","Va rugam adauga randuri la optiune."
"Please be careful as once you click on the row it will load package data form the selected file and all unsaved form data will be lost.","Va rugam fiti atenti, o data ce faceti click pe rand, va incarca datele pachetului de aplicatii ale fisierului selectat, si toate datele aplicatiilor nesalvate vor fi pierdute."
"Please click on Close Window button if it won't be closed automatically","Apasa pe Inchide fereastra daca nu se inchide automat."
"Please enter a new group name","Introdu un nou nume de grup"
"Please refresh ""Catalog Rewrites"" and ""Layered Navigation Indices"" in System -> <a href=""%s"">Cache Management</a>","Va rugam reimprospatati ""Rescrierile catalogului"" si ""Indicii de navigare stratificati"" in sistem -> <a href=""%s"">Managementul ascuns</a>"
"Please select  items","Va rugam selectati articolele"
"Please select one or more attributes.","Alege unul sau mai multe atribute."
"Please select product(s)","Alege produs(e)"
"Please select products for attributes update","Alege produse pentru actualizare atribute"
"Please select static block ...","Alege bloc static ..."
"Please set up merge date/time .","Va rugam setati data/ timpul fuzionate."
"Please specify date required option(s)","Va rugam specificati optiunea(ile) de date cerute"
"Please specify the product's option(s).","Va rugam specificati optiunile produsului."
"Please specify the product required option(s)","Va rugam specificati optiunea(ile) produsului cerute"
"Please specify the product(s) quantity","Va rugam specificati cantitatea produsului(elor)"
"Please specify time required option(s)","Va rugam specificati timpul optiunii(ilor) obligatorii"
"Please, use four-digit year format","Va rugam, folositi formatul de an cu patru decimale"
"Position","Pozitie"
"Position In Layered Navigation","Pozitie in filtre"
"Position of attribute in layered navigation block","Pozitia atributului in filtre"
"Prev","Inapoi"
"Previous","Anteriorul"
"Price","Pret"
"Price Type","Tipul de pret"
"Price values for options should be specified in system base currency.","Valorile pretului trebuie specificate in valuta de baza."
"Price:","Pret:"
"Print This Page","Listeaza pagina"
"Problem saving the collection, aborting. Error: %s","Probleme la salvarea colectiei de date. Eroare: %s"
"Product","Product"
"Product %s successfully added to compare list","Produs %s adaugat cu succes la lista de comparatie"
"Product %s successfully removed from compare list","Produs %s sters cu succes din lista de comparatie"
"Product API","Product API"
"Product Alerts","Alerte produs"
"Product Attribute","Atributul produsului"
"Product Attributes","Atributele produsului"
"Product Categories","Categorii de produse"
"Product Description","Informatii produs"
"Product Image Placeholders","Imginea produsului cand nu exista imagine"
"Product Image Watermarks","Watermark pentru Imginea produsului"
"Product Images","Imaginile produsului"
"Product Images API","Product Images API"
"Product In Websites","Produs In Site-uri"
"Product Info Column","Product Info Column"
"Product Information","Informatii produs"
"Product Name","Nume produs"
"Product Reviews","Pareri produs"
"Product Tags","Etichete produs"
"Product Tier Price API","Product Tier Price API"
"Product Type","Tip produs"
"Product URL Suffix","Product URL Suffix"
"Product attribute sets API","Seturile atributului de produs API"
"Product attribute was successfully deleted","Atribut produs sters"
"Product attribute was successfully saved","Atribut produs salvat"
"Product attributes API","Atributele produsului API"
"Product collection expected","Lipseste colectia de produse"
"Product deleted","Produs sters"
"Product duplicated","Produs duplicat"
"Product has required options","Produsul a cerut optiuni"
"Product links API (related, cross sells, up sells)","Linkurile produsului API (related, cross sells, up sells)"
"Product listing sort by","Listarea produsului dupa"
"Product saving error.","Eroare la salvarea produsului."
"Product saving error. ","Eroare la salvarea produsului. "
"Product types API","Tipuri de produs API"
"Product was successfully created.","Produs creat."
"Product was successfully saved.","Produs salvat."
"Product with this combination of attributes already associated to configurable.","Un produs cu aceasta combinatie de atribute este deja asociat la un configurabil."
"Products","Produse"
"Products Information","Informatii produse"
"Products Reviews","Opinii produse"
"Products Sitemap","Harta site produse"
"Products only","Doar produse"
"Products per Page on Grid default value","Nr. produse pe pagina ca tabel"
"Products per Page on List allowed values","Produse pe pagina din lista permit valori "
"Products per Page on List default value","Nr. produse pe pagina ca lista"
"Products per page on Grid allowed values","Produse pe pagina din tabel permit valori"
"Properties","Proprietati"
"Qty","Buc."
"Qty Uses Decimals","Cantitatea e cu virgula"
"Qty for Item's Status to become Out of Stock","Cantitatea pentru articolul care urmeaza sa nu mai fie pe stoc"
"Quick Create","Creare rapida"
"Quick Overview","Prezentare"
"Quick simple product creation","Creare rapida a unui produs simplu"
"Records for ","Inregistrari pentru "
"Redirect","Redirectionare"
"Redirect URL","URL redirectionare"
"Regular Price:","Pret normal:"
"Related Products","Consumabile"
"Remove","Sterge"
"Remove Product","Sterge Produs"
"Remove Product From Websites","Sterge produs din Site-uri"
"Remove This Item","Sterge acest articol"
"Remove product assignment","Inlocuieste produsul atribuit"
"Remove product image","Inlocuieste imaginea produsului"
"Remove product link","Inlocuieste linkul produsului"
"Required","Necesar"
"Reset","Reseteaza"
"Results","Rezultate"
"Retrieve attribute data","Recupereaza datele atributului"
"Retrieve attribute list","Recupereaza lista atributului"
"Retrieve attribute options","Recupereaza optiunile atributului"
"Retrieve categories tree","Recupereaza categoriile arborelui"
"Retrieve category attributes","Recupereaza atributele categoriei"
"Retrieve category data","Recupereaza datele categoriei"
"Retrieve hierarchical tree","Recupereaza arborele ierarhic"
"Retrieve linked products","Recupereaza produsele legate"
"Retrieve list of assigned products","Recupereaza lista produselor atribuite"
"Retrieve one level of categories by website/store view/parent category","Recupereaza un nivel al categoriilor pe website/vizualizarea stocului/categoria mama"
"Retrieve product","Recupereaza produs"
"Retrieve product attribute sets","Recupereaza setul produsului de atribute"
"Retrieve product image","Recupereaza imaginea produsului"
"Retrieve product image list","Recupereaza imaginea produsului lista"
"Retrieve product image types","Recupereaza tipurile de imagine ale produsului"
"Retrieve product link type attributes","Recupereaza tipul atributelor produsului legat"
"Retrieve product link types","Recupereaza tipurile produsului legat"
"Retrieve product tier prices","Recupereaza preturile produsului tier"
"Retrieve product types","Recupereaza tipurile produsului"
"Retrieve products data","Recupereaza data produselor "
"Retrieve products list by filters","Recupereaza lista produselor prin filtre"
"Review successfully deleted","Recenzia a fost stearsa cu succes"
"Review was saved successfully","Recenzia a fost salvata cu succes"
"Review was successfully saved","Recenzia a fost salvata cu succes"
"Reviews","Pareri"
"Roll Over for preview","Treci cu mouse-ul pt vizualizare"
"Root","Radacina"
"SKU","Cod produs"
"Save","Salveaza"
"Save And Continue Edit","Salveaza si continua"
"Save Attribute","Salveaza atribut"
"Save Attribute Set","Salveaza set atribute"
"Save Category","Salveaza categorie"
"Save Search","Salveaza cautare"
"Saved ","Salvat "
"Scope","Acoperire"
"Search","Cauta"
"Search Engine Optimizations","Optimizari pt motoare de cautare"
"Search Information","Informatii cautare"
"Search Query","Interogare cautare"
"Search Term was successfully saved","Termen de cautare salvat"
"Search Term with such search query already exist.","Termen de cautare cu aceste cuvinte deja exista."
"Search was successfully deleted","Cautarea a fost stearsa"
"Searchable","Cautabil"
"Select Configurable Attributes ","Alege atribute configurabile "
"Select type of option","Selecteaza tipul optiunii"
"Select type options required values rows.","Selecteaza tipul de optiuni cerut in valorile randurilor ."
"Selected Product Types","Alege tipul de produs"
"Selected configuration is not available.","Configuratia selectata nu este valabila."
"Send Count","Trimite numaratoare"
"Set Ascending Direction","Seteaza crescator"
"Set Descending Direction","Seteaza descrescator"
"Set Name","Seteaza numele"
"Set Root Category For Store","Seteaza categoria radacina pt magazin"
"Set root category for this store in the <a href=""%s"">configuration</a>","Seteaza categoria radacina pt magazin in <a href=""%s"">configurare</a>"
"Set special price","Seteaza pretul special"
"Set/Get current store view","Seteaza/ ia vizualizarea stocului curent"
"Settings","Setari"
"Shop By","Filtreaza produsele"
"Shopping Options","Optiuni de cumparare"
"Show","Arata"
"Show Details","Arata detalii"
"Show Tags","Arata taguri"
"Simple Product","Produs simplu"
"Site Map","Harta site"
"Sitemap","Harta sit"
"Skip import row, is not valid value ""%s"" for field ""%s"","S-a sarit peste randul importat, ""%s"" nu este o valoare valida pentru campul ""%s"""
"Skip import row, required field ""%s"" for new customer not defined","S-a sarit peste randul importat, campul cerut ""%s"" pentru noul client nu este definit"
"Skip import row, required field ""%s"" for new products not defined","S-a sarit peste randul importat, campul cerut ""%s"" pentru noile produse nu este definit"
"Skip import row, required field ""%s"" not defined","S-a sarit peste randul importat, campul cerut ""%s"" nu este definit"
"Skip import row, store ""%s"" field not exists","Sari peste randul importat, campul ""%s"" stocului nu exista"
"Sort Order","Ordinea sortarii"
"Sort By","Sorteaza dupa"
"Source Model","Model sursa"
"Special Price:","Pret special:"
"Starting at:","Incepand de la:"
"Static","Static"
"Static block and products","Bloc static si produse"
"Static block only","Doar bloc static"
"Status","Status"
"Stock Availability","Disponibilitate stoc"
"Store","Magazin"
"Store View","Vitrina magazin"
"Stretch","Stretch"
"Subscribe to Feed","Inscrie-te la feed"
"Subscribe to RSS Feed","Inscrie-te la feed-uri RSS"
"Super product attributes configuration","Configurare atribute pt superprodus"
"Synonym For","Sinonim cu"
"Synonym for","Sinonim cu"
"System","Sistem"
"System Properties","Proprietati sistem"
"Tag Name","Nume eticheta"
"Tax","Taxe"
"Text","Text"
"Text Area","Suprafata pt text"
"Text Field","Camp pt text"
"The product %s has been added to comparison list.","Produsul %s a fost adaugat in lista de comparare."
"The product %s has been removed from comparison list.","Produsul %s a fost sters din lista de comparare."
"The comparison list was cleared.","Lista de comparare a fost golita."
"There are no %s available.","Nu exista %s."
"There are no customers for this alert","Nu exista clienti pt aceasta alerta"
"There are no products matching the selection.","Nu exista produse conform criteriilor selectate."
"There was an error while adding products to websites","Eroare la adaugarea produselor la site-uri"
"There was an error while cleared compare list","A aparut o eroare in timpul curatarii listei comparate"
"There was an error while removing products from websites","Eroare la stergerea produselor din site-uri"
"There was an error while updating product(s) attributes","Eroare la actualizarea atributelor produselor"
"There was an error while updating product(s) status","A aparut o eroare in timpul upgradarii statusurilor produsului(elor)."
"This attribute no longer exists","Atributul nu mai exista"
"This group contains attributes, used in configurable products. Please move these attributes to another group and try again.","Acest grup contine atribute, folosite la produsele configurabile. Va rugam mutati aceste atribute altui grup si incercati din nou."
"This group contains system attributes. Please move system attributes to another group and try again.","Acest grup contine atribute de sistem. Mutati atributele in alt grup si incercati din nou."
"This is a required option","Aceasta este o optiune ceruta"
"This search no longer exists","Cautarea nu mai exista"
"Tier Pricing","Preturi en-gros"
"Tile","Tigla"
"Time format","Formatul timpului"
"Title","Titlu"
"Top/Left","Stanga/Sus"
"Top/Right","Dreapta/Sus"
"Total Qty Base Items","Cantitatea totala a articolelor de baza"
"Total incl. Tax: %1$s","Taxele totale incluse: %1$s"
"Total of %d record(s) were successfully deleted","Un numar de %d inregistrare(i) au fost sterse"
"Total of %d record(s) were successfully updated","Un numar de %d inregistrare(i) au fost actualizate"
"Type","Tip"
"Unable to complete request. Please try again later.","Nu s-a putut finaliza. Incearca mai tarziu."
"Unable to find a search term to delete","Nu s-a gasit niciun termen de sters"
"Unable to find an attribute to delete","Nu s-a gasit niciun atribut de sters"
"Unable to get product id.","Nu s-a gasit ID-ul produsului."
"Unassigned Attributes","Atribute nealocate"
"Unique Value","Valoare unica"
"Unique Value (not shared with other products)","Valoare unica (nepartajata cu alte produse)"
"Unknown attribute: %s","Atribut necunoscut: %s"
"Up-sells","Up-sells"
"Update","Actualizeaza"
"Update Attributes","Atribute upgradate"
"Update Tier Price","Pret tier upgradat"
"Update assigned product","Actualizeaza produsele atribuite"
"Update attributes","Actualizeaza atribute"
"Update category","Actualizeaza categorie"
"Update product","Actualizeaza produs"
"Update product image","Actualizeaza imaginea produsului"
"Update product link","Actualizeaza linkul produsului"
"Update product tier prices","Actualizeaza preturile produsului tier"
"Upload new product image ","Upload new product image "
"Url","Url"
"Url Rewrite Management","Rescriere Url Management"
"Url rewrie save problem.","Rescriere url salvare problema."
"Use Config Settings","Foloseste setarile din Config"
"Use Default Value","Foloseste valoare standard"
"Use Flat Catalog Category","Foloseste categoria catalogului neted"
"Use Flat Catalog Product","Use Flat Catalog Product"
"Use In Layered Navigation","Foloseste la filtre"
"Use In Layered Navigation<br/>(Can be used only with catalog input type 'Dropdown')","Foloseste la filtre<br/>(se poate folosi doar cu tipul 'Dropdown')"
"Use In Search Results Layered Navigation","Use In Search Results Layered Navigation"
"Use JavaScript Calendar","Use JavaScript Calendar"
"Use To Create Configurable Product","Foloseste la crearea de produs configurabil"
"Use Tree Like Category Sitemap","Use Tree Like Category Sitemap"
"Use categories path for product URLs","Foloseste calea categoriilor pt URL produse"
"Use in advanced search","Foloseste in cautare avansata"
"Use in quick search","Foloseste in cautare rapida"
"Used for sorting in product listing","Used for sorting in product listing"
"Used in product listing","Used in product listing"
"Values Required","Valori obligatorii"
"Varchar","Varchar"
"View as","Vezi ca"
"Virtual Product","Virtual Product"
"Visibility","Vizibilitate"
"Visible","Vizibil"
"Visible on Catalog Pages on Front-end","Vizibil in paginile catalogului la client"
