"* Required Fields","* Campuri obligatorii"
"A new password has been sent.","O parola noua a fost trimisa la adresa de email folosita la inregistrare."
"Account Dashboard","Panou control"
"Account Information","Informatii cont"
"Account Sharing Options","Optiuni partajare cont"
"The account information has been saved.","Informatiile contului au fost salvate."
"Action","Actiune"
"Add New Address","Adauga adresa"
"Add New Customer","Adauga client"
"Add New Customer Group","Adauga grup de clienti"
"Added From","Adaugat din"
"Additional Address Entries","Adrese suplimentare"
"Address","Adresa"
"Address Book","Agenda"
"Address Information","Informatii adresa"
"Addresses","Adrese"
"Admin","Admin"
"All","Toate"
"All Store Views","Toate vitrinele magazinului"
"All countries","Toate tarile"
"Always optional","Mereu optional"
"Amount","Suma"
"Approved","Aprobat"
"Are you sure that you want to remove this item?","Esti sigur ca vrei sa stergi acest articol?"
"Are you sure you want to cancel adding of this address?","Esti sigur ca vrei sa anulezi adaugarea acestei adrese?"
"Are you sure you want to delete this address?","Esti sigur ca vrei sa stergi aceasta adresa?"
"Are you sure?","Esti sigur?"
"Array of Entity collections is expected","Este de asteptat urmarirea entitatii colectiilor"
"Assign a customer group","Aloca un grup de clienti"
"Average Sale","Vanzari medii"
"Back","Inapoi"
"Back to Login","Inapoi la Login"
"Bad request.","Cerere gresita."
"Bill to Name","De la factura la Nume"
"Billing Information","Informatii facturare"
"Bought From","Cumparat de la"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","In urma inregistrarii pe <b>Createur.ro</b>, vei putea cumpara mai repede, iti vei putea adauga adrese multiple in agenda, vei putea urmari starea comenzilor, vei putea vedea comenzile mai vechi si multe altele."
"CSV","CSV"
"Can't save address","Eroare. Adresa nu poate fi salvata."
"Can't save customer","Eroare. Clientul nu poate fi salvat"
"Can't share customer accounts global. Because some customer accounts with same emails exist on multiple websites and cannot be merged.","Nu putem imparti conturile globale ale clientului. Deoarece conturile anumitor clienti cu aceleasi emailuri exista pe mai multe sit-uri si nu pot fi unite."
"Cancel","Anuleaza"
"Change Account Password","Schimba parola contului tau"
"Change Billing Address","Modifica adresa de facturare"
"Change Password","Schimba parola"
"Change Shipping Address","Modifica adresa de livrare"
"City","Oras"
"Company","Firma"
"Config","Configuratie"
"Confirm New Password","Confirma noua parola"
"Confirm Password","Confirma parola"
"Confirmation Link Email","Confirmare link email "
"Confirmed","Confirmat"
"Contact Information","Informatii de contact"
"Continue Shopping","Continua cumparaturile"
"Country","Tara"
"Create","Creeaza"
"Create New Account Options","Optiuni creare cont nou"
"Create New Customer Account","Creaza un cont nou"
"Create Order","Creaza comanda"
"Create an Account","Creaza un cont"
"Create customer","Creeaza client"
"Create customer address","Creeaza adresa client"
"Current Password","Parola actuala"
"Customer","Client"
"Customer Addresses","Adrese client"
"Customer Api","Customer Api"
"Customer Configuration","Configuratie client"
"Customer Group","Grup clienti"
