"%s was added to your shopping cart.","%s a fost adaugat in cos."
"&laquo; Back to Billing Information","&laquo; inapoi la informatii de facturare"
"&laquo; Back to Select Addresses","&laquo; inapoi la alegerea adreselor"
"&laquo; Back to Shopping Cart","&laquo; inapoi la cosul de cumparaturi"
"* Required Fields","* campuri obligatorii"
"Add New Address","Adauga adresa noua"
"Add New Condition","Adauga conditie noua"
"Add to Cart","Adauga in cos"
"Add to Compare","Adauga la comparatie"
"Add to Wishlist","Adauga la produse preferate"
"Address","Adresa"
"Address %s of %s","Adresa %s din %s"
"After adding a product redirect to shopping cart","Redirectioneaza spre cos dupa adaugarea unui produs"
"Allow Guest Checkout","Accepta comenzi fara inregistrare"
"Already registered?","Esti deja inregistrat?"
"An error occurred in the process of payment","O eroare s-a strecurat in procesul de plata"
"Apply Coupon","Foloseste cupon"
"Are you sure you would like to remove this item from the shopping cart?","Esti sigur ca vrei sa stergi produsul din cos?"
"Back","Inapoi"
"Back to Shipping Information","Inapoi la informatii de livrare"
"Based on your selection, you may be interested in the following items:","Bazat pe seclectia dvs., vei putea fi interesat de urmatoarele articole:"
"Billing Address","Adresa de facturare"
"Billing Information","Informatii de facturare"
"Billing Information - %s","Informatii de facturare - %s"
"Can not add item to shopping cart","Nu se poate adauga produsul in cos"
"Can not apply coupon code.","Nu se poate folosi cuponul."
"Can't open overview page","Pagina de overview nu se poate deschide"
"Cancel Coupon","Anuleaza cuponul"
"Cannot remove item","Nu se poate sterge articolul"
"Cannot update shopping cart","Nu se poate actualiza cosul"
"Card Verification Number Visual Reference","Numar verificare card referinta vizuala"
"Cart Subtotal:","Subtotal:"
"Change","Schimba"
"Change Billing Address","Modifica"
"Checkbox text","Text cutie de verificare"
"Checkout","Finalizare comanda"
"Checkout Conditions","Conditii de verificare iesiri"
"Checkout Options","Optiuni de achizitie"
"Checkout Section","Sectiune verificare iesiri"
"Checkout Terms and Conditions","Termeni si conditii verificare iesiri"
"Checkout as Guest","Cumpara fara inregistrare"
"Checkout as a Guest or Register","Cumpara fara inregistrare sau Inregistreaza-te"
"Checkout Method","Medoda de cumparare"
"Checkout with Multiple Addresses","Cumparaturi cu adrese multiple"
"City","Oras"
"Click <a href=""%s"" onclick=""this.target='_blank'"">here to print</a> a copy of your order confirmation.","Clic <a href=""%s"" onclick=""this.target='_blank'"">aici</a> pentru a printa o copie de confirmare comanda."
"Close","Inchide"
"Company","Firma"
"Condition Name","Nume conditie"
"Condition was successfully deleted","Conditia a fost stearsa cu succes"
"Condition was successfully saved","Conditia a fost salvata cu succes"
"Configurable product image","Imagine produs configurabil"
"Confirm Password","Confirma parola"
"Content","Continut"
"Content Height","Inaltime continut"
"Content Height (css)","Inaltime continut (css)"
"Continue","Continua"
"Continue Shopping","Continua cumparaturile"
"Continue to Billing Information","Continua spre Informatii Facturare"
"Continue to Review Your Order","Continua spre Informatii Comanda"
"Continue to Shipping Information","Continua spre Informatii Livrare"
"Country","Tara"
"Coupon code ""%s"" is not valid.","Cuponul ""%s"" nu este valid."
"Coupon code ""%s"" was applied successfully.","Codul cuponului ""%s"" a fost aplicat cu succes."
"Coupon code was canceled successfully.","Cuponul a fost anulat cu succes."
"Create Billing Address","Creaza adresa de facturare"
"Create Shipping Address","Creaza adresa de livrare"
"Customer Address is not valid.","Adresa clientului nu este valida."
"Data saving problem","Probleme cu salvarea datelor"
"Default Billing","Facturare standard"
"Default Shipping","Livrare standard"
"Delete Condition","Sterge conditie"
"Details","Detalii"
"Disable Onepage Checkout","Pagina de verificare iesiri invalida"
"Disabled","Invalid"
"Discount Codes","Coduri pentru discount"
"Display Cart Summary","Arata detalii cos"
"Display Shopping Cart Sidebar","Ecran cumparaturi cart sidebar"
"Display item quantities","Arata cantitatile produselor"
"Display number of items in cart","Arata numarul de produse din cos"
"Easy access to your order history and status","Acces rapid si facil la istoricul si starea comenzilor"
"Edit","Modifica"
"Edit Address","Modifica adresa"
"Edit Billing Address","Modifica adresa de facturare"
"Edit Items","Modifica articole"
"Edit Shipping Address","Modifica adresa de livrare"
"Edit Terms and Conditions","Editeaza termeni si conditii"
"Edit Your Cart","Modifica cosul"
"Email Address","Adresa e-mail"
"Enable Terms and Conditions","Permite termeni si conditii"
"Enabled","Enabled"
"Enter a New Address","Introdu o noua adresa"
"Enter your coupon code if you have one.","Daca beneficiezi de un cupon de reducere, introdu codul aici."
"Enter your destination to get a shipping estimate.","Introdu destinatia pentru a afla costul estimativ al transportului."
"Error while deleting this condition. Please try again later.","Eroare in timpul stergerii acestei conditii. Va rugam incearcati din nou mai tarziu."
"Error while saving this condition. Please try again later.","Eroare in timpul salvarii acestei conditii. Va rugam incercati din nou mai tarziu ."
"Estimate Shipping and Tax","Cost transport cu TVA"
"Excl. Tax","Excl. Tax"
"Fast and easy check out","Cumperi rapid si usor"
"Fax","Fax"
"Forgot an Item?","Ai uitat sa cumperi ceva?"
"Forgot your password?","Ai uitat parola?"
"Get a Quote","Afla o estimare a costului"
"Grand Total:","Total general:"
"Grouped product image","Imagine produs grupat"
"HTML","HTML"
"ID","ID"
"Incl. Tax","Incl. Tax"
"Invalid data","Date gresite"
"Invalid email address ""%s""","Adresa email invalida ""%s"""
"Invalid shipping method.","Metoda de livrare gresita."
"Items","Articole"
"Load customer quote error","Eroare la incarcare"
"Loading next step...","Se incarca pasul urmator..."
"Login","Login"
"Manage Checkout Terms and Conditions","Gestioneaza termeni si conditii iesiri"
"Maximum display Recently added item(s)","Afisare maxima articole adaugate recent(e)"
"Maximum qty allowed for Shipping to multiple addresses is %s","Cantitatea maxima permisa pentru livrarea la adrese multiple este %s"
"Move to Wishlist","Muta la produse preferate"
"My Account","Contul meu"
"My Cart","Cosul meu"
"My Cart (%s item)","Cosul meu (%s produs)"
"My Cart (%s items)","Cosul meu (%s produse)"
"My Cart Link","Spre Cosul meu"
"New Address","Adresa noua"
"New Condition","New Condition"
"Order #","Comanda #"
"Order Review","Detalii comanda"
"Order Success","Comanda finalizata"
"Other items in your order","Alte articole in comanda ta"
"Password","Parola"
"Payment Failed Email Reciever","Plata esuata email primire"
"Payment Failed Email Sender","Plata esuata email trimitere"
"Payment Failed Emails","Plata esuata email"
"Payment Failed Template","Plata esuata template"
"Payment Information","Informatii de plata"
"Payment Method","Metoda de plata"
"Payment method is not defined","Nu este definita metoda de plata"
"Place Order","Finalizare comanda"
"Please <a href=""%s"">continue shopping</a>.","Puteti <a href=""%s"">continua cumparaturile</a>."
"Please agree to all Terms and Conditions before placing the order.","Va rugam fiti de acord cu toti termenii si toate conditiile inainte de a plasa comanda."
